,year,jan,feb,mar,april,may,june,july,aug,sept,oct,nov,dec,total
0,1901,0.0,0.0,0.0,0.485413485,10.520805345,640.7140364,888.3696921,545.0457959,64.27151334,9.871696144,0.0,0.0,2182.478796
1,1902,0.0,0.0,0.0,0.0,0.355000585,247.9987823,408.4337298,566.5958631,688.9134546,28.65409204,0.488864213,0.4403726,1960.966334
2,1903,0.0,0.0,0.0,0.0,10.520805345,370.8490478,902.4478963,602.4208281,264.589816,157.8928768,0.0,0.0,2519.61324
3,1904,0.0,0.0,0.0,0.0,0.0,723.081969,390.8867992,191.5819273,85.70475449,38.67994848,0.0,0.0,1441.317168
4,1905,0.0,0.38074519500000004,0.0,0.0,0.0,123.8708922,581.8279747,167.3821495,172.2977226,7.365923628,23.432884625,0.0,1080.02425
5,1906,0.0,0.38074519500000004,0.0,0.0,0.0,321.6451208,804.3841046,539.0578839,108.8490993,0.12954931,0.0,0.0,1777.372453
6,1907,0.0,0.38074519500000004,0.0,0.485413485,0.0,631.6770351,1351.896766,464.4788589,50.08811502,7.840675861,0.0,0.0,2518.414598
7,1908,0.0,0.38074519500000004,0.0,0.0,0.350077391,333.9860398,897.4833014,445.8703425,215.1198735,19.52657309,0.0,0.0,1916.604932
8,1909,0.0,0.0,0.0,0.485413485,0.0,643.8268245,983.0909722,331.57869,517.7304169,0.0,0.0,0.0,2477.007007
9,1910,0.0,0.0,0.0,0.0,3.047778606,468.0550587,289.0568811,774.627555,264.4049891,79.46544719,5.167580098,0.0,1883.82529
10,1911,0.0,0.38074519500000004,0.0,0.0,2.383748874,300.6976896,392.9537596,549.4740089,135.1086711,0.19888556,1.511257261,0.0,1383.085078
11,1912,0.0,0.0,0.0,0.0,5.128592014,324.0946167,751.1886484,347.8472704,115.5728259,33.9651067,23.432884625,0.0,1671.430433
12,1913,0.0,0.349497706,0.0,0.0,0.0,844.5721662,875.4857802,175.5874999,169.9496681,78.29218894,0.0,0.0,2144.236801
13,1914,0.0,0.38074519500000004,0.0,0.349497706,0.0,580.5992339,942.6160994,503.3194993,633.1839804,3.900766484,5.395609409,0.0,2672.469516
14,1915,0.0,0.38074519500000004,0.0,0.205113232,1.966960788,960.0481258,374.4206178,219.7018269,288.5032754,91.79232232,0.103865579,0.0,1967.0281
15,1916,0.0,0.0,0.0,0.194165394,3.435732365,446.1653047,681.550228,628.136391,326.1228148,158.7694516,8.487649933,0.0,2252.861738
16,1917,0.0,0.38074519500000004,0.0,0.0,10.520805345,678.0407697,540.745923,1108.92794775,572.4581309,230.780357884,0.0,0.0,3492.540447
17,1918,0.0,0.0,0.0,0.0,10.520805345,292.1345939,220.574845,283.995137,76.79649308,0.0,0.44658041,0.0,1108.922612
18,1919,0.0,0.0,0.0,0.0,0.0,481.0785591,884.5581275,446.0537687,240.4117838,43.47917041,1.530801773,0.0,2098.767258
19,1920,0.0,0.38074519500000004,0.0,0.0,0.0,188.6336435,742.4566021,276.5107919,129.3672547,66.09744909,0.0,0.0,1448.075431
20,1921,0.0,0.0,0.0,0.0,0.0,538.9768298,1135.03441,292.2584411,355.5080224,8.06174694,0.0,0.0,2329.83945
21,1922,0.0,0.0,0.0,0.485413485,0.102179736,624.8790624,881.6039224,163.6224408,252.9286002,16.98972708,9.37315385,0.4403726,1953.190837
22,1923,0.0,0.252415001,0.0,0.0,0.0,123.3952695,1119.091645,247.9889343,437.2342987,0.0,0.0,0.0,1927.962563
23,1924,0.0,0.0,0.0,0.0,0.0,235.4754266,498.8271006,512.3221435,339.4409819,0.194165394,3.693861246,0.0,1590.116215
24,1925,0.0,0.0,0.0,0.0,10.520805345,663.6154607,282.2739187,268.0023925,106.1296136,6.693493605,12.5386769,0.0,1426.755654
25,1926,0.0,0.0,0.0,0.0,0.485413477,169.3579568,1098.740924,673.3954349,380.8684194,16.51295516,0.0,0.0,2390.709394
26,1927,0.0,0.38074519500000004,0.0,0.0,0.0,842.8968737,543.9163467,233.6216831,168.5976365,166.6817938,23.432884625,0.4403726,2000.782117
27,1928,0.0,0.38074519500000004,0.0,0.0,3.379058957,497.3891077,735.4106655,621.1039594,220.8829574,13.69747937,2.014997661,0.0,2096.064676
28,1929,0.0,0.0,0.0,0.485413485,0.0,582.0122569,354.0594627,271.53043,173.9760367,118.8079208,1.353132844,0.4403726,1516.96303
29,1930,0.0,0.0,0.0,0.0,0.125027642,699.6852793,320.534919,235.3800048,772.2367323999999,37.63115653,0.109145299,0.0,2112.014314
30,1931,0.0,0.0,0.0,0.0,0.0,224.723292,1151.503495,565.3786324,149.5842079,230.780357884,23.432884625,0.4403726,2587.560465
31,1932,0.0,0.0,0.0,0.0,4.708019018,272.1765587,913.337277,190.753795,286.5502311,174.6808824,0.692609519,0.4403726,1844.284496
32,1933,0.0,0.0,0.0,0.0,10.520805345,301.3826516,391.5510836,527.0710158,348.6012788,59.84714162,0.0,0.4403726,1701.026564
33,1934,0.0,0.0,0.0,0.0,0.0,864.9275939,518.9146414,548.1945893,224.0254702,6.158581592,23.432884625,0.0,2203.619343
34,1935,0.0,0.0,0.0,0.0,0.0,748.1081976,567.318478,353.5588979,252.8960514,40.8211775,1.470445514,0.0,1964.173248
35,1936,0.0,0.349497706,0.0,0.0,6.166763529,877.4049973,280.2117601,206.0156555,260.8635946,1.205713511,23.432884625,0.0,1680.962098
36,1937,0.0,0.38074519500000004,0.0,0.0,0.0,570.2048,953.559376,128.5737324,273.4025474,41.36648953,0.0,0.4403726,1973.756425
37,1938,0.0,0.0,0.0,0.0,10.520805345,767.2840765,540.3784438,436.9620707,164.9232219,230.780357884,23.432884625,0.0,2478.558089
38,1939,0.0,0.0,0.0,0.0,0.0,135.2393102,812.9009292,389.984616,137.5144558,2.467361763,23.432884625,0.0,1524.045219
39,1940,0.0,0.38074519500000004,0.0,0.0,0.0,631.427726,693.1379439,596.6583247,427.4381703,154.5790065,23.432884625,0.0,2559.976604
40,1941,0.0,0.0,0.0,0.0,0.0,217.1815337,506.740084,108.6680748,140.417219,85.47499278,0.0,0.0,1058.840525
41,1942,0.0,0.0,0.0,0.0,0.0,667.5180263,887.9705064,267.7069551,314.4113305,0.0,0.0,0.4403726,2139.974321
42,1943,0.0,0.0,0.0,0.0,10.520805345,697.8607051,742.0760316,87.49336988,249.7640678,103.7760632,1.017982721,0.0,2017.437752
43,1944,0.0,0.0,0.0,0.0,1.15277946,339.5457254,1102.172216,467.13299,52.20517549,70.51444602,0.0,0.0,2033.07283
44,1945,0.0,0.0,0.0,0.0,0.0,584.6162162,729.4522287,610.8974856,246.4517272,4.631403446,1.925176859,0.0,2192.544686
45,1946,0.0,0.0,0.0,0.0,10.520805345,466.8829895,614.3146009,483.1080591,429.2368983,50.63356735,23.432884625,0.4403726,2226.108046
46,1947,0.0,0.0,0.0,0.485413485,0.0,114.3632292,640.7447825,653.8731683,520.8011434,43.19281292,0.0,0.0,2048.847342
47,1948,0.0,0.0,0.0,0.0,0.0,258.692052,799.3284432,437.8811367,310.9271403,16.78259131,23.432884625,0.0,1993.005966
48,1949,0.0,0.0,0.0,0.0,10.520805345,450.8365615,776.029985,344.727745,772.2367323999999,46.94816646,0.0,0.0,2661.419725
49,1950,0.0,0.0,0.0,0.0,2.228123784,156.7846805,768.3141083,120.2616894,667.6864825,21.3021161,1.086130112,0.0,1737.663331
50,1951,0.0,0.0,0.0,0.485413485,10.520805345,486.7164333,873.0308335,233.4970948,62.592924,98.23516084,7.885144055,0.0,1789.968552
51,1952,0.0,0.0,0.0,0.0,0.0,659.4909215,816.1513859,182.4679696,81.01068899,59.80895019,0.0,0.0,1798.929916
52,1953,0.0,0.0,0.0,0.485413485,0.0,868.6613383,993.93328,365.7049057,133.4433856,68.41873856,0.0,0.0,2433.555311
53,1954,0.0,0.38074519500000004,0.0,0.485413485,0.0,574.0948515,1299.687247,854.473555,699.757781,45.23788385,0.0,0.4403726,3485.964862
54,1955,0.0,0.0,0.0,0.0,0.975558996,384.3945117,498.6370234,981.3023684,262.8969786,213.8098043,3.316999912,0.0,2345.333245
55,1956,0.0,0.0,0.0,0.0,10.520805345,706.199643,854.2021886,506.7693021,550.9746685,102.0798147,10.15554774,0.0,2792.214576
56,1957,0.0,0.0,0.0,0.0,10.520805345,285.0467576,789.8897636,656.5144932,64.37990752,14.01743007,23.432884625,0.0,1872.782372
57,1958,0.0,0.0,0.0,0.0,1.241091207,828.504283,897.8397144,1108.92794775,394.1517961,0.279039003,2.2815063,0.0,3252.676693
58,1959,0.0,0.0,0.0,0.485413485,3.477257758,446.3770054,930.3067111,662.5269339,269.2765492,230.780357884,0.0,0.0,2654.220795
59,1960,0.0,0.0,0.0,0.0,3.330729455,1062.481902,569.2942467,285.0090303,114.3248798,230.780357884,0.0,0.268388838,2287.761069
60,1961,0.0,0.38074519500000004,0.0,0.228447124,10.520805345,374.6448361,1175.557153,358.1495357,265.8214934,97.57465969,0.0,0.4403726,2308.229921
61,1962,0.0,0.38074519500000004,0.0,0.485413485,10.520805345,73.54763114,437.9492466,304.7764536,304.6011384,6.54220897,14.05312964,0.4403726,1203.425456
62,1963,0.0,0.0,0.0,0.0,0.0,404.6692513,788.4036368,1008.297793,322.372307,21.64000738,5.452298284,0.0,2555.251938
63,1964,0.0,0.0,0.0,0.0,0.38161549,629.9473037,498.5487519,501.5744933,264.6159218,101.6388648,4.786837697,0.0,2001.493789
64,1965,0.0,0.0,0.0,0.485413485,0.0,637.0319233,1045.946669,393.8412943,69.52831514,0.0,3.218384862,0.4403726,2160.408333
65,1966,0.0,0.0,0.0,0.0,3.688822746,306.3905167,898.1867622,128.7772654,224.2851569,16.68273067,1.287952304,0.0,1579.299207
66,1967,0.0,0.0,0.0,0.0,0.0,763.7414839,971.618641,303.402383,204.0660978,57.92793465,0.0,0.4403726,2335.363261
67,1968,0.0,0.0,0.0,0.0,0.0,190.3979115,569.0766874,140.9086041,136.6207292,43.50362098,1.370682597,0.0,1081.878236
68,1969,0.0,0.0,0.0,0.152298078,0.0,482.4498723,608.9577639,210.4797438,379.414229,1.311803222,4.540005893,0.17614904,1687.481865
69,1970,0.0,0.0,0.0,0.485413485,10.520805345,917.7042016,548.9238518,730.7862294,301.2027358,61.4203715,0.0,0.0,2592.752676
70,1971,0.0,0.38074519500000004,0.0,0.0,10.520805345,1080.609561,331.2911011,653.1660519,345.3928048,24.63193008,0.0,0.0,2502.588106
71,1972,0.0,0.38074519500000004,0.0,0.380745173,0.913788497,722.7697089,577.5638992,118.6223621,76.7303295,0.17614904,23.432884625,0.0,1540.522091
72,1973,0.0,0.38074519500000004,0.0,0.485413485,0.0,353.6121693,597.3584199,465.7292064,363.8519603,52.90209542,0.0,0.0,1834.996957
73,1974,0.0,0.0,0.0,0.485413485,10.520805345,168.953773,1351.62042,533.3724584,164.5534471,123.5125695,0.0,0.0,2394.650556
74,1975,0.0,0.0,0.0,0.0,0.814658701,576.1305025,892.1163747,728.7143351,459.7874784,162.1230921,0.0,0.0,2819.686442
75,1976,0.0,0.0,0.0,0.0,1.70919238,380.1770616,795.0092514,392.7383557,397.1120739,0.0,23.432884625,0.0,2001.719231
76,1977,0.0,0.0,0.0,0.456894249,0.0,430.9202395,1113.549222,231.2195086,493.2821302,30.45654255,23.432884625,0.0,2345.753127
77,1978,0.0,0.38074519500000004,0.0,0.0,5.635028571,848.683888,448.5772674,216.8806495,222.550884,59.48012149,22.76981217,0.4403726,1827.991195
78,1979,0.0,0.262360632,0.0,0.0,1.218384624,618.8824289,351.124574,588.8504616,210.3925865,7.773538649,23.432884625,0.0,1888.789928
79,1980,0.0,0.0,0.0,0.485413485,0.0,719.4303917,429.5650258,604.3726146,136.7591339,22.12956381,8.232554272,0.4403726,1936.742834
80,1981,0.0,0.38074519500000004,0.0,0.485413485,0.0,264.5645988,637.5936115,394.4172392,702.6736123,50.543487,11.95602304,0.0,2066.212918
81,1982,0.0,0.0,0.0,0.0,4.208322138,439.4631988,783.9691557,478.7604202,141.7669908,0.0,23.432884625,0.0,1970.41367
82,1983,0.0,0.0,0.0,0.485413485,0.0,452.0674135,992.7352772,1108.92794775,540.9290645,106.0788736,23.432884625,0.0,3340.982201
83,1984,0.0,0.38074519500000004,0.0,0.0,0.0,573.9967607,1079.18462,176.7291095,355.587815,14.19080842,0.0,0.0,2203.008369
84,1985,0.0,0.0,0.0,0.0,1.805466682,1208.9599992,618.4306213,327.7591957,122.0056054,153.3475969,0.0,0.0,2442.867062
85,1986,0.0,0.0,0.0,0.0,0.913788497,556.3350358,199.6323442,435.6358005,84.70780812,0.152298078,23.18471694,0.4403726,1303.361792
86,1987,0.0,0.0,0.0,0.0,0.0,428.8473604,692.4888435,745.6028123,36.31354488,53.47740059,0.514658734,0.4403726,1984.84424
87,1988,0.0,0.0,0.0,0.0,0.0,382.6663699,927.1389183,307.5390013,772.2367323999999,230.780357884,0.152298063,0.0,2643.074282
88,1989,0.0,0.0,0.0,0.0,0.0,455.4160416,850.5649299,492.4931418,171.125109,41.53927302,0.0,0.0,2017.274395
89,1990,0.0,0.38074519500000004,0.0,0.0,10.520805345,964.4543734,310.5148327,1004.660361,401.7907732,103.1718007,0.609192312,0.0,2919.180098
90,1991,0.0,0.0,0.0,0.485413485,0.14310582,1052.339174,1115.675294,235.0654965,57.26236381,1.675278783,1.066086411,0.4403726,2466.947795
91,1992,0.0,0.0,0.0,0.0,0.0,125.4356583,521.64353,725.5986973,286.1479914,62.5823537,0.0,0.0,1721.408231
92,1993,0.0,0.0,0.0,0.0,3.807451725,432.9531575,736.4308882,302.4889916,772.2367323999999,94.87604773,8.071798325,0.147701949,2427.939586
93,1994,0.0,0.0,0.0,0.485413485,2.144846439,450.5557081,953.8284854,333.4885387,360.8185384,27.6140632,0.119254835,0.0,2142.201364
94,1995,0.0,0.0,0.0,0.0,0.0,96.67291197,537.8339719,299.0937223,457.5998091,115.9034624,0.0,0.0,1507.999282
95,1996,0.0,0.0,0.0,0.0,0.0,259.4112881,1006.342533,437.2816071,394.5821985,128.3353387,1.789937377,0.0,2230.346629
96,1997,0.0,0.0,0.0,0.256606311,0.0,594.5302033,570.7685774,627.1344656,365.0434659,0.0,23.432884625,0.4403726,2215.010199
97,1998,0.0,0.0,0.0,0.0,0.0,412.5590918,575.7706877,651.5636494,398.6452177,230.780357884,21.37636121,0.0,2403.908868
98,1999,0.0,0.152298078,0.0,0.0,10.520805345,534.1499592,474.6121993,176.3790047,360.98685,125.5191782,0.0,0.0,1753.378985
99,2000,0.0,0.0,0.0,0.0,10.520805345,355.0052309,1153.879456,602.147194,111.6963857,18.68784475,0.0,0.4403726,2485.440171
100,2001,0.0,0.0,0.0,0.485413485,10.520805345,472.2390967,585.1833284,399.4605456,91.30013934,73.024344,0.0,0.0,1638.828123
101,2002,0.0,0.0,0.0,0.0,1.661490381,441.050956,103.2091943,620.1884971,126.2663366,0.533043206,0.0,0.352298081,1304.579575
102,2003,0.0,0.38074519500000004,0.0,0.0,0.0,704.4380687,794.2246659,339.6660274,279.4595129,6.312673569,0.0,0.0,2126.054987
